DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG

2017-01-16 05:00:00,1.48,5.14,4.65,3.32,3.08,5.47,3.73,94.68,1,94.7,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,34.72,1,0,0,30.13,1,0,0,57.66,1,2.98,35.83,32.49,76.02,32.49,67.47,21.15,83.6,21.05,70.62,34.71,33.81,benign
2017-01-16 06:00:00,1.63,5.5,4.46,3.49,3.65,5.5,4.78,96.67,1,96.68,1,0.0,0,0.0,0,0,0,0.0,0,49.75,1,34.5,1,0,0,28.55,1,0,0,64.71,1,2.98,34.76,30.51,75.25,30.47,88.29,20.82,83.64,20.72,75.24,32.95,32.05,benign
2017-01-16 07:00:00,2.06,4.99,4.22,4.06,3.96,5.24,3.63,88.17,1,88.19,1,0.0,0,0.0,0,0,0,0.0,0,49.51,1,0.0,0,0,0,0.0,0,0,0,0.0,0,2.98,39.25,28.04,74.47,28.0,86.29,34.09,64.48,34.09,56.12,43.27,29.41,benign
2017-01-16 08:00:00,2.61,4.47,4.38,4.3,3.47,5.08,2.58,90.28,1,90.29,1,0.0,0,0.0,0,0,0,0.0,0,49.62,1,0.0,0,0,0,33.4,1,0,0,0.0,0,2.98,38.15,27.51,70.75,27.47,85.54,30.0,61.66,29.87,68.06,41.69,28.88,benign
2017-01-16 09:00:00,3.04,3.94,3.92,4.31,2.61,5.26,2.6,93.57,1,93.59,1,0.0,0,0.0,0,0,0,0.0,0,49.42,1,0.0,0,0,0,32.66,1,0,0,0.0,0,2.98,36.42,27.0,71.48,26.96,85.42,28.72,60.97,28.6,69.53,39.85,28.37,attack8
2017-01-16 10:00:00,3.3,3.42,3.59,4.32,1.77,5.5,3.12,92.0,1,92.02,1,0.0,0,0.0,0,0,0,0.0,0,49.38,1,0.0,0,0,0,32.29,1,0,0,0.0,0,2.98,37.25,26.47,69.31,26.43,84.97,29.64,60.57,29.52,71.75,40.83,27.85,attack8
2017-01-16 11:00:00,3.53,2.72,3.21,4.18,1.69,5.5,3.48,92.42,1,92.43,1,0.0,0,0.0,0,0,0,0.0,0,47.08,1,36.29,1,0,0,29.81,1,0,0,0.0,0,2.98,37.03,22.75,86.55,22.82,85.61,22.59,82.29,22.48,73.08,40.33,24.49,attack8
2017-01-16 12:00:00,3.73,1.86,3.32,4.49,2.12,5.5,4.27,92.02,1,92.04,1,0.0,0,36.99,1,0,0,0.0,0,46.73,1,36.03,1,0,0,31.03,1,0,0,0.0,0,2.98,37.24,22.02,87.14,22.09,85.48,22.62,82.79,22.5,69.11,40.6,23.75,attack8
2017-01-16 13:00:00,3.94,1.48,3.91,3.21,2.58,5.5,4.12,91.92,1,91.93,1,0.0,0,36.57,1,0,0,0.0,0,0.0,0,35.9,1,0,0,30.64,1,0,0,0.0,0,2.98,37.29,25.51,92.27,25.61,66.75,22.89,83.29,22.78,70.69,40.72,26.88,attack8
2017-01-16 14:00:00,4.14,0.78,4.18,3.38,3.06,5.5,4.36,91.28,1,91.3,1,0.0,0,35.61,1,0,0,0.0,0,47.29,1,36.03,1,0,0,30.53,1,0,0,0.0,0,2.98,37.63,21.04,88.21,21.09,83.5,23.28,83.45,23.17,71.44,41.14,22.75,attack8
2017-01-16 15:00:00,4.06,0.68,4.81,3.46,3.48,5.5,4.67,96.44,1,96.46,1,0.0,0,35.73,1,0,0,0.0,0,48.97,1,35.01,1,0,0,29.76,1,0,0,105.72,1,2.98,34.88,25.52,89.15,25.58,84.9,21.65,83.6,21.54,72.32,28.61,27.71,attack8
